Cancer_type	Regulatory_element	Cell_or_tissue	Factor	GEO_Sample_ID_or_ENCODE_file_ID	GEO_Series_ID_or_ENCODE_experiment_ID	PMID	Title	SRA_run_ID	Input_GEO_Sample_ID	Input_SRA_run_ID	File_URL
BLCA	enhancer	Bladder-tissue	H3K27ac	GSM1013133	GSE16256	23526891	RFECS: a random-forest based algorithm for enhancer identification from chromatin state	SRR578675	GSM906414	SRR449619	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Enhancer/BLCA/Bladder-tissue_GSM1013133_H3K27ac_BLCA.filt.nodup.srt.MACS2.narrowPeak.gz
BLCA	enhancer	HTB-9	H3K27ac	GSM1948904	GSE75286	27514407	Transcription Factor KLF5 Binds a Cyclin E1 Polymorphic Intronic Enhancer to Confer Increased Bladder Cancer Risk	SRR2946615	GSM1948903	SRR2946614	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Enhancer/BLCA/HTB-9_GSM1948904_H3K27ac_BLCA.filt.nodup.srt.MACS2.narrowPeak.gz
BLCA	enhancer	J82	H3K27ac	GSM1948902	GSE75286	27514407	Transcription Factor KLF5 Binds a Cyclin E1 Polymorphic Intronic Enhancer to Confer Increased Bladder Cancer Risk	SRR2946613	GSM1948901	SRR2946612	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Enhancer/BLCA/J82_GSM1948902_H3K27ac_BLCA.filt.nodup.srt.MACS2.narrowPeak.gz
BLCA	enhancer	JMSU-1	H3K27ac	GSM2877296	GSE107783	29143738	Bladder-cancer-associated mutations in RXRA activate peroxisome proliferator-activated receptors to drive urothelial proliferation	SRR6353588	GSM2877292,GSM2877293	SRR6353584,SRR6353585	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Enhancer/BLCA/JMSU-1_GSM2877296_H3K27ac_BLCA.filt.nodup.srt.MACS2.narrowPeak.gz
BLCA	enhancer	JMSU-1	H3K27ac	GSM2877297	GSE107783	29143738	Bladder-cancer-associated mutations in RXRA activate peroxisome proliferator-activated receptors to drive urothelial proliferation	SRR6353589	GSM2877292,GSM2877293	SRR6353584,SRR6353585	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Enhancer/BLCA/JMSU-1_GSM2877297_H3K27ac_BLCA.filt.nodup.srt.MACS2.narrowPeak.gz
BLCA	enhancer	JMSU-1	H3K27ac	GSM2877298	GSE107783	29143738	Bladder-cancer-associated mutations in RXRA activate peroxisome proliferator-activated receptors to drive urothelial proliferation	SRR6353590	GSM2877292,GSM2877293	SRR6353584,SRR6353585	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Enhancer/BLCA/JMSU-1_GSM2877298_H3K27ac_BLCA.filt.nodup.srt.MACS2.narrowPeak.gz
BLCA	enhancer	RT112	H3K27ac	GSM2359492	GSE89129	29054992	Suppression of Adaptive Responses to Targeted Cancer Therapy by Transcriptional Repression	SRR4449028	GSM2359484	SRR4449020	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Enhancer/BLCA/RT112_GSM2359492_H3K27ac_BLCA.filt.nodup.srt.MACS2.narrowPeak.gz
BLCA	enhancer	T24	H3K27ac	GSM1948906	GSE75286	27514407	Transcription Factor KLF5 Binds a Cyclin E1 Polymorphic Intronic Enhancer to Confer Increased Bladder Cancer Risk	SRR2946617	GSM1948905	SRR2946616	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Enhancer/BLCA/T24_GSM1948906_H3K27ac_BLCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	enhancer	76NF2V	H3K27ac	GSM2258686	GSE85158	29273624	Enhancer transcription reveals subtype-specific gene expression programs controlling breast cancer pathogenesis	SRR3997175	GSM2258702,GSM2258703	SRR3997191,SRR3997192	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Enhancer/BRCA/76NF2V_GSM2258686_H3K27ac_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	enhancer	76NF2V	H3K4me1	GSM2258693	GSE85158	29273624	Enhancer transcription reveals subtype-specific gene expression programs controlling breast cancer pathogenesis	SRR3997182	GSM2258702,GSM2258703	SRR3997191,SRR3997192	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Enhancer/BRCA/76NF2V_GSM2258693_H3K4me1_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	enhancer	AU565	H3K27ac	GSM2258812	GSE85158	29273624	Enhancer transcription reveals subtype-specific gene expression programs controlling breast cancer pathogenesis	SRR3997301	GSM2258828,GSM2258829	SRR3997317,SRR3997318	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Enhancer/BRCA/AU565_GSM2258812_H3K27ac_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	enhancer	AU565	H3K27ac	GSM2258813	GSE85158	29273624	Enhancer transcription reveals subtype-specific gene expression programs controlling breast cancer pathogenesis	SRR3997302	GSM2258828,GSM2258829	SRR3997317,SRR3997318	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Enhancer/BRCA/AU565_GSM2258813_H3K27ac_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	enhancer	AU565	H3K4me1	GSM2258818	GSE85158	29273624	Enhancer transcription reveals subtype-specific gene expression programs controlling breast cancer pathogenesis	SRR3997307	GSM2258828,GSM2258829	SRR3997317,SRR3997318	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Enhancer/BRCA/AU565_GSM2258818_H3K4me1_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	enhancer	AU565	H3K4me1	GSM2258819	GSE85158	29273624	Enhancer transcription reveals subtype-specific gene expression programs controlling breast cancer pathogenesis	SRR3997308	GSM2258828,GSM2258829	SRR3997317,SRR3997318	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Enhancer/BRCA/AU565_GSM2258819_H3K4me1_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	enhancer	BT-549	H3K27ac	GSM1589476	GSE69107	26406377	CDK7-dependent transcriptional addiction in triple-negative breast cancer	SRR1769377	GSM1589475	SRR1769376	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Enhancer/BRCA/BT-549_GSM1589476_H3K27ac_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	enhancer	CAL51	H3K27ac	GSM1693015	GSE69112	26051943	Somatic Cell Fusions Reveal Extensive Heterogeneity in Basal-like Breast Cancer	SRR2035161	GSM1693027	SRR2035173	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Enhancer/BRCA/CAL51_GSM1693015_H3K27ac_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	enhancer	CAL51-MCF7	H3K27ac	GSM1693016	GSE69112	26051943	Somatic Cell Fusions Reveal Extensive Heterogeneity in Basal-like Breast Cancer	SRR2035162	GSM1693028	SRR2035174	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Enhancer/BRCA/CAL51-MCF7_GSM1693016_H3K27ac_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	enhancer	Cultured-mammary-epithelial-cells	H3K27ac	GSM1383853	GSE57498	24916973	Reconfiguration of nucleosome-depleted regions at distal regulatory elements accompanies DNA methylation of enhancers and insulators in cancer	SRR1282212	GSM1383858	SRR1282217	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Enhancer/BRCA/Cultured-mammary-epithelial-cells_GSM1383853_H3K27ac_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	enhancer	Cultured-mammary-epithelial-cells	H3K27ac	GSM733660	GSE29611	22955616	An integrated encyclopedia of DNA elements in the human genome	SRR227393,SRR227394	GSM733668	SRR227411,SRR227412	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Enhancer/BRCA/Cultured-mammary-epithelial-cells_GSM733660_H3K27ac_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	enhancer	Cultured-mammary-epithelial-cells	H3K4me1	GSM1383855	GSE57498	24916973	Reconfiguration of nucleosome-depleted regions at distal regulatory elements accompanies DNA methylation of enhancers and insulators in cancer	SRR1282214	GSM1383858	SRR1282217	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Enhancer/BRCA/Cultured-mammary-epithelial-cells_GSM1383855_H3K4me1_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	enhancer	HCC1937	H3K27ac	GSM2258902	GSE85158	29273624	Enhancer transcription reveals subtype-specific gene expression programs controlling breast cancer pathogenesis	SRR3997391	GSM2258918,GSM2258919	SRR3997407,SRR3997408	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Enhancer/BRCA/HCC1937_GSM2258902_H3K27ac_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	enhancer	HCC1937	H3K4me1	GSM2258908	GSE85158	29273624	Enhancer transcription reveals subtype-specific gene expression programs controlling breast cancer pathogenesis	SRR3997397	GSM2258918,GSM2258919	SRR3997407,SRR3997408	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Enhancer/BRCA/HCC1937_GSM2258908_H3K4me1_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	enhancer	HCC1937	H3K4me1	GSM2258909	GSE85158	29273624	Enhancer transcription reveals subtype-specific gene expression programs controlling breast cancer pathogenesis	SRR3997398	GSM2258918,GSM2258919	SRR3997407,SRR3997408	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Enhancer/BRCA/HCC1937_GSM2258909_H3K4me1_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	enhancer	HCC1954	H3K27ac	GSM2066435	GSE72956	27015306	Metastatic Latency and Immune Evasion through Autocrine Inhibition of WNT	SRR3178326	GSM2066431	SRR3178322_1,SRR3178322_2	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Enhancer/BRCA/HCC1954_GSM2066435_H3K27ac_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	enhancer	HCC1954	H3K27ac	GSM2066436	GSE72956	27015306	Metastatic Latency and Immune Evasion through Autocrine Inhibition of WNT	SRR3178327	GSM2066432	SRR3178323_1,SRR3178323_2	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Enhancer/BRCA/HCC1954_GSM2066436_H3K27ac_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	enhancer	HCC1954	H3K27ac	GSM721136	GSE29118	22156296	Global DNA hypomethylation coupled to repressive chromatin domain formation and gene silencing in breast cancer	SRR201971,SRR201972,SRR201973	GSM721139	SRR201981,SRR201982	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Enhancer/BRCA/HCC1954_GSM721136_H3K27ac_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	enhancer	HCC1954	H3K4me1	GSM2258837	GSE85158	29273624	Enhancer transcription reveals subtype-specific gene expression programs controlling breast cancer pathogenesis	SRR3997326	GSM2258846,GSM2258847	SRR3997335,SRR3997336	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Enhancer/BRCA/HCC1954_GSM2258837_H3K4me1_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	enhancer	HCC1954	H3K4me1	GSM721133	GSE29118	22156296	Global DNA hypomethylation coupled to repressive chromatin domain formation and gene silencing in breast cancer	SRR201963,SRR201964,SRR201965	GSM721139	SRR201981,SRR201982	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Enhancer/BRCA/HCC1954_GSM721133_H3K4me1_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	enhancer	Mammary-epithelial-cells	H3K27ac	GSM1421317	GSE58882	25960784	Coordinated epigenetic remodelling of transcriptional networks occurs during early breast carcinogenesis	SRR1481506	GSM1421318	SRR1481507	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Enhancer/BRCA/Mammary-epithelial-cells_GSM1421317_H3K27ac_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	enhancer	Mammary-epithelial-cells	H3K27ac	GSM1421320	GSE58882	25960784	Coordinated epigenetic remodelling of transcriptional networks occurs during early breast carcinogenesis	SRR1481509	GSM1421323	SRR1481512	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Enhancer/BRCA/Mammary-epithelial-cells_GSM1421320_H3K27ac_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	enhancer	MB231	H3K27ac	GSM2258849	GSE85158	29273624	Enhancer transcription reveals subtype-specific gene expression programs controlling breast cancer pathogenesis	SRR3997338	GSM2258864,GSM2258865	SRR3997353,SRR3997354	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Enhancer/BRCA/MB231_GSM2258849_H3K27ac_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
