Cancer_type	Regulatory_element	Cell_or_tissue	Factor	GEO_Sample_ID_or_ENCODE_file_ID	GEO_Series_ID_or_ENCODE_experiment_ID	PMID	Title	SRA_run_ID	Input_GEO_Sample_ID	Input_SRA_run_ID	File_URL
BLCA	NDR	Fetal-urinary-bladder-tissue	DNase-seq	ENCFF386HEY,ENCFF823HYK	ENCSR813CKU	22955616	An integrated encyclopedia of DNA elements in the human genome	NA	NA	NA	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Open_chromatin/BLCA/Fetal-urinary-bladder-tissue_ENCFF386HEY,ENCFF823HYK_DNase-seq_BLCA.bed.gz
BLCA	NDR	Urothelial-cells	DNase-seq	GSM1008605	GSE32970	22955983	Predicting cell-type-specific gene expression from regions of open chromatin	SRR576439,SRR576440	NA	NA	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Open_chromatin/BLCA/Urothelial-cells_GSM1008605_DNase-seq_BLCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	NDR	MDA-MB-231	ATAC-seq	GSM1855976	GSE72141	32811816	Interaction of the pioneer transcription factor GATA3 with nucleosomes	SRR2171284,SRR2171285,SRR2171286	NA	NA	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Open_chromatin/BRCA/MDA-MB-231_GSM1855976_ATAC-seq_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	NDR	MDA-MB-231	ATAC-seq	GSM1855977	GSE72141	32811816	Interaction of the pioneer transcription factor GATA3 with nucleosomes	SRR2171287,SRR2171288,SRR2171289	NA	NA	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Open_chromatin/BRCA/MDA-MB-231_GSM1855977_ATAC-seq_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	NDR	MDA-MB-231	ATAC-seq	GSM1855978	GSE72141	32811816	Interaction of the pioneer transcription factor GATA3 with nucleosomes	SRR2171290,SRR2171291,SRR2171292	NA	NA	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Open_chromatin/BRCA/MDA-MB-231_GSM1855978_ATAC-seq_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	NDR	T47D	ATAC-seq	GSM2241148	GSE84594	28336670	PI3K pathway regulates ER-dependent transcription in breast cancer through the epigenetic regulator KMT2D	SRR3929041	NA	NA	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Open_chromatin/BRCA/T47D_GSM2241148_ATAC-seq_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	NDR	MCF-10A	ATAC-seq	GSM2357379	GSE89013	28957321	Identification of breast cancer associated variants that modulate transcription factor binding	SRR4436440	NA	NA	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Open_chromatin/BRCA/MCF-10A_GSM2357379_ATAC-seq_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	NDR	T47D	ATAC-seq	GSM2644562	GSE99479	32232341	Cancer-specific mutation of GATA3 disrupts the transcriptional regulatory network governed by Estrogen Receptor alpha, FOXA1 and GATA3	SRR5631445	NA	NA	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Open_chromatin/BRCA/T47D_GSM2644562_ATAC-seq_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	NDR	T47D	ATAC-seq	GSM2644563	GSE99479	32232341	Cancer-specific mutation of GATA3 disrupts the transcriptional regulatory network governed by Estrogen Receptor alpha, FOXA1 and GATA3	SRR5631446	NA	NA	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Open_chromatin/BRCA/T47D_GSM2644563_ATAC-seq_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	NDR	T47D	DNase-seq	GSM1014536	GSE26328	22955618	An expansive human regulatory lexicon encoded in transcription factor footprints	SRR585967,SRR585968,SRR585969,SRR585970,SRR585971	NA	NA	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Open_chromatin/BRCA/T47D_GSM1014536_DNase-seq_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	NDR	Variant-mammary-epithelial-cells	DNase-seq	GSM1024609	GSE18927	20944595	The NIH Roadmap Epigenomics Mapping Consortium	SRR606862,SRR606863,SRR606864,SRR606865,SRR606866,SRR606867	NA	NA	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Open_chromatin/BRCA/Variant-mammary-epithelial-cells_GSM1024609_DNase-seq_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	NDR	T47D	DNase-seq	GSM1024762	GSE29692	22955617	The accessible chromatin landscape of the human genome	SRR608798,SRR608799,SRR608800	NA	NA	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Open_chromatin/BRCA/T47D_GSM1024762_DNase-seq_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	NDR	MCF-7	DNase-seq	GSM1024764	GSE29692	22955617	The accessible chromatin landscape of the human genome	SRR608803,SRR608804	NA	NA	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Open_chromatin/BRCA/MCF-7_GSM1024764_DNase-seq_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	NDR	MCF-7	DNase-seq	GSM1024767	GSE29692	22955617	The accessible chromatin landscape of the human genome	SRR608813,SRR608814,SRR608815	NA	NA	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Open_chromatin/BRCA/MCF-7_GSM1024767_DNase-seq_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	NDR	MCF-7	DNase-seq	GSM1255280	GSE51915	24317252	Refined DNase-seq protocol and data analysis reveals intrinsic bias in transcription factor footprint identification	SRR1021922	NA	NA	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Open_chromatin/BRCA/MCF-7_GSM1255280_DNase-seq_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	NDR	MCF-7	DNase-seq	GSM1255281	GSE51915	24317252	Refined DNase-seq protocol and data analysis reveals intrinsic bias in transcription factor footprint identification	SRR1021923	NA	NA	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Open_chromatin/BRCA/MCF-7_GSM1255281_DNase-seq_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	NDR	MCF-7	DNase-seq	GSM1255282	GSE51915	24317252	Refined DNase-seq protocol and data analysis reveals intrinsic bias in transcription factor footprint identification	SRR1021924	NA	NA	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Open_chromatin/BRCA/MCF-7_GSM1255282_DNase-seq_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	NDR	MDA-MB-231	DNase-seq	GSM2242136	GSE84579	28077088	Integrated RNA-seq and DNase-seq analyses identify phenotype-specific BMP4 signaling in breast cancer	SRR3931130	NA	NA	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Open_chromatin/BRCA/MDA-MB-231_GSM2242136_DNase-seq_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	NDR	Mammary-epithelial-cells	DNase-seq	GSM736552	GSE29692	22955617	The accessible chromatin landscape of the human genome	SRR231175	NA	NA	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Open_chromatin/BRCA/Mammary-epithelial-cells_GSM736552_DNase-seq_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	NDR	MCF-7	DNase-seq	GSM736581	GSE29692	22955617	The accessible chromatin landscape of the human genome	SRR231204	NA	NA	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Open_chromatin/BRCA/MCF-7_GSM736581_DNase-seq_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	NDR	MCF-7	DNase-seq	GSM736588	GSE29692	22955617	The accessible chromatin landscape of the human genome	SRR231211	NA	NA	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Open_chromatin/BRCA/MCF-7_GSM736588_DNase-seq_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	NDR	Mammary-epithelial-cells	DNase-seq	GSM736634	GSE29692	22955617	The accessible chromatin landscape of the human genome	SRR231259	NA	NA	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Open_chromatin/BRCA/Mammary-epithelial-cells_GSM736634_DNase-seq_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	NDR	Variant-mammary-epithelial-cells	DNase-seq	GSM753973	GSE18927	20944595	The NIH Roadmap Epigenomics Mapping Consortium	SRR305161,SRR305162	NA	NA	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Open_chromatin/BRCA/Variant-mammary-epithelial-cells_GSM753973_DNase-seq_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	NDR	Variant-mammary-epithelial-cells	DNase-seq	GSM753974	GSE18927	20944595	The NIH Roadmap Epigenomics Mapping Consortium	SRR305163,SRR305164	NA	NA	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Open_chromatin/BRCA/Variant-mammary-epithelial-cells_GSM753974_DNase-seq_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
BRCA	NDR	MCF-7	DNase-seq	GSM816627	GSE32970	22955983	Predicting cell-type-specific gene expression from regions of open chromatin	SRR352385,SRR352386	NA	NA	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Open_chromatin/BRCA/MCF-7_GSM816627_DNase-seq_BRCA.filt.nodup.srt.MACS2.narrowPeak.gz
COAD	NDR	HCT116	ATAC-seq	GSM2719724	GSE101975	28967863	Chromatin accessibility underlies synthetic lethality of SWI/SNF subunits in ARID1A-mutant cancers	SRR5876158	NA	NA	https://github.com/rhielab/TENET.AnnotationHub_files/raw/main/Open_chromatin/COAD/HCT116_GSM2719724_ATAC-seq_COAD.filt.nodup.srt.MACS2.narrowPeak.gz
